,d,v
0,2002-03-04,2.01
1,2002-03-05,1.99
2,2002-03-06,2.05
3,2002-03-07,2.14
4,2002-03-08,2.2
5,2002-03-11,2.25
6,2002-03-12,2.37
7,2002-03-13,2.33
8,2002-03-14,2.37
9,2002-03-15,2.34
10,2002-03-18,2.32
11,2002-03-19,2.38
12,2002-03-20,2.43
13,2002-03-21,2.39
14,2002-03-22,2.5700000000000003
15,2002-03-25,3.21
16,2002-03-26,2.99
17,2002-03-27,2.85
18,2002-04-02,2.89
19,2002-04-03,2.9
20,2002-04-04,2.8
21,2002-04-05,2.67
22,2002-04-08,2.7
23,2002-04-09,2.75
24,2002-04-10,2.77
25,2002-04-11,2.79
26,2002-04-12,2.86
27,2002-04-15,2.92
28,2002-04-16,2.85
29,2002-04-17,2.81
30,2002-04-18,2.91
31,2002-04-19,3.12
32,2002-04-29,3.02
33,2002-04-30,2.92
34,2002-05-02,3.04
35,2002-05-03,3.16
36,2002-05-06,3.16
37,2002-05-07,3.17
38,2002-05-08,3.19
39,2002-05-09,3.18
40,2002-05-10,3.18
41,2002-05-13,3.27
42,2002-05-14,3.26
43,2002-05-15,3.23
44,2002-05-16,3.22
45,2002-05-17,3.33
46,2002-05-20,3.52
47,2002-05-21,3.49
48,2002-05-22,3.42
49,2002-05-23,3.39
50,2002-05-24,3.43
51,2002-05-27,3.45
52,2002-05-28,3.45
53,2002-05-29,3.54
54,2002-05-30,3.59
55,2002-05-31,3.58
56,2002-06-03,3.59
57,2002-06-04,3.61
58,2002-06-05,3.63
59,2002-06-06,3.64
60,2002-06-07,3.63
61,2002-06-10,3.5300000000000002
62,2002-06-11,3.46
63,2002-06-12,3.45
64,2002-06-13,3.47
65,2002-06-14,3.5
66,2002-06-18,3.51
67,2002-06-19,3.54
68,2002-06-20,3.58
69,2002-06-21,3.64
70,2002-06-24,3.71
71,2002-06-25,3.85
72,2002-06-26,3.87
73,2002-06-27,3.81
74,2002-06-28,3.8
75,2002-07-01,3.79
76,2002-07-02,3.69
77,2002-07-03,3.58
78,2002-07-04,3.56
79,2002-07-05,3.5700000000000003
80,2002-07-08,3.5300000000000002
81,2002-07-10,3.5300000000000002
82,2002-07-11,3.56
83,2002-07-12,3.59
84,2002-07-15,3.59
85,2002-07-16,3.59
86,2002-07-17,3.5
87,2002-07-18,3.54
88,2002-07-19,3.58
89,2002-07-22,3.6
90,2002-07-23,3.64
91,2002-07-24,3.65
92,2002-07-25,3.63
93,2002-07-26,3.66
94,2002-07-29,3.65
95,2002-07-30,3.65
96,2002-07-31,3.7
97,2002-08-01,3.63
98,2002-08-02,3.62
99,2002-08-05,3.62
100,2002-08-06,3.62
101,2002-08-07,3.63
102,2002-08-08,3.64
103,2002-08-09,3.64
104,2002-08-12,3.62
105,2002-08-13,3.61
106,2002-08-14,3.63
107,2002-08-15,3.64
108,2002-08-16,3.64
109,2002-08-20,3.63
110,2002-08-21,3.6
111,2002-08-22,3.58
112,2002-08-23,3.6
113,2002-08-26,3.62
114,2002-08-27,3.63
115,2002-08-28,3.61
116,2002-08-29,3.61
117,2002-08-30,3.63
118,2002-09-02,3.63
119,2002-09-03,3.63
120,2002-09-04,3.64
121,2002-09-05,3.62
122,2002-09-06,3.61
123,2002-09-09,3.61
124,2002-09-10,3.62
125,2002-09-11,3.61
126,2002-09-12,3.62
127,2002-09-13,3.63
128,2002-09-16,3.64
129,2002-09-17,3.63
130,2002-09-18,3.63
131,2002-09-19,3.65
132,2002-09-20,3.66
133,2002-09-23,3.65
134,2002-09-24,3.66
135,2002-09-25,3.67
136,2002-09-26,3.67
137,2002-09-27,3.7
138,2002-09-30,3.73
139,2002-10-01,3.74
140,2002-10-02,3.76
